N,P,K,temperature,humidity,pH,rainfall,label,Plant_Category,EC (mS/cm) Range,Ca (ppm) Range,Mg (ppm) Range,Na (ppm) Range (Max)
112,40,39,27.1599,72.1232,6.3157,100.0316,Cucumis melo var. cantalupensis ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
98,45,135,33.2507,75.9329,6.4662,183.7538,Colocasia esculenta ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
32,18,9,22.575,61.2237,8.0126,41.9022,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
24,51,41,21.2814,58.1462,8.3653,11.5486,Trigonella foenum-graecum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
104,46,75,23.3607,56.8591,7.8588,23.5013,Beta vulgaris subsp. cicla ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
95,40,53,25.7593,79.7369,6.7971,141.6684,Citrullus lanatus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
104,31,40,28.6985,59.9842,6.5918,24.3225,Helianthus annuus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
112,29,33,37.5153,65.4756,6.9628,52.1743,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
37,21,9,25.1981,60.7536,7.25,52.8634,Rosmarinus officinalis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
64,28,41,17.42,62.7841,6.3395,35.3287,Melissa officinalis ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
102,41,53,26.7437,56.7006,6.3996,131.4034,Ocimum basilicum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
122,27,45,31.3677,75.1087,7.6626,80.5743,Oryza sativa ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
152,35,138,26.9762,66.4375,6.5743,86.7551,Capsicum frutescens ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
97,41,31,13.6042,72.9958,7.4814,60.2423,Matricaria chamomilla ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
152,39,132,22.1767,63.9052,7.6185,32.2952,Solanum lycopersicum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
115,23,34,18.3631,58.9379,8.1423,90.1365,Ocimum basilicum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
64,71,90,13.9783,72.3514,7.4594,45.1182,Pisum sativum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
87,25,21,26.2992,67.5806,6.7903,77.4616,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
72,26,49,14.3423,58.719,6.7062,39.3689,Raphanus sativus ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
40,19,57,19.3305,52.3845,5.1021,88.8624,Mangifera indica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
81,31,56,17.7738,62.9616,7.8104,27.8268,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
53,14,28,8.1477,73.0914,6.332,82.3084,Citrus limon ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
117,33,83,30.1074,86.0742,5.3121,85.9473,Curcuma longa ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
100,20,29,16.7538,70.9059,7.4661,82.9942,Mentha spicata ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
125,45,123,31.3255,76.2746,6.9666,14.0547,Cucurbita moschata ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
61,27,49,33.904,36.0794,7.82,37.5889,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
60,31,118,23.3677,84.5404,5.3198,94.7436,Zingiber officinale ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
101,54,89,22.0026,73.06,7.0107,46.0189,Brassica nigra ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
55,40,71,17.0919,53.2803,6.7806,6.8434,Pimpinella anisum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
61,37,53,24.72,41.7862,7.5603,46.6242,Portulaca oleracea ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
52,51,66,25.7628,75.5582,6.1084,129.1976,Carica papaya ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
137,51,130,17.0811,66.8585,6.6287,35.2943,Brassica oleracea var. italica ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
84,46,50,15.625,66.4226,8.3923,68.6143,Triticum aestivum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
74,35,36,16.7651,64.7795,6.8322,26.6626,Petroselinum crispum ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
81,33,34,15.7269,60.9128,8.0239,21.7145,Hordeum vulgare ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
71,60,125,25.3147,75.74,7.1093,109.8529,Ipomoea batatas ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
125,34,77,29.4701,74.8332,7.7324,69.6616,Oryza sativa ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
49,34,47,21.4581,55.1955,7.0624,14.1268,Ammi majus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
22,15,13,20.9984,34.7888,8.1516,74.3418,Olea europaea ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
84,55,127,20.5229,72.708,7.7809,46.0835,Beta vulgaris var. conditiva ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
80,47,70,27.8063,47.4101,6.0126,77.1856,Helianthus annuus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
54,17,51,24.2407,67.4684,5.6051,18.0628,Psidium guajava ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
34,0,39,29.1783,59.024,8.0081,95.1017,Ficus sycomorus ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
64,49,56,26.9025,73.3236,5.6378,96.4278,Pelargonium graveolens ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
54,35,60,15.1263,64.7985,6.9006,6.4027,Coriandrum sativum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
76,55,67,18.4278,75.1167,7.3662,67.7668,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
110,51,46,24.9837,71.6211,6.7988,72.5536,Helianthus annuus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
156,43,47,17.3674,68.2188,7.6899,53.8861,Lactuca sativa ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
101,48,60,19.4632,57.9741,7.6354,8.3427,Allium cepa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
24,0,16,39.3014,36.5444,8.469,7.91,Opuntia ficus-indica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
25,47,86,15.0774,68.2064,7.3592,42.3338,Lens culinaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
70,67,130,28.2639,63.2902,5.0831,135.0319,Ipomoea batatas ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
73,49,57,18.4418,60.4202,6.8628,60.0798,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
55,40,63,19.8627,63.3376,6.7584,20.5445,Pimpinella anisum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
133,42,88,18.3191,71.3401,6.3495,74.7289,Apium graveolens ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
33,75,68,17.7807,69.2973,6.4331,57.6677,Pisum sativum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
95,19,44,27.1011,45.9915,7.3944,40.0296,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
51,47,96,23.1316,71.6798,7.0811,78.228,Linum usitatissimum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
115,61,110,17.3143,66.0993,7.9959,64.9148,Beta vulgaris var. conditiva ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
53,34,15,18.467,63.6281,7.7661,37.502,Origanum majorana ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
25,28,16,28.7393,59.5749,8.1936,26.2786,Simmondsia chinensis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
58,56,25,20.7372,60.8257,7.4103,36.1276,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
10,17,31,16.6271,53.5129,8.4642,38.6868,Olea europaea ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
21,37,74,21.7947,43.7374,7.5859,43.5575,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
17,7,48,23.6308,74.7638,6.1229,91.8851,Pyrus communis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
66,55,108,25.6157,60.6403,6.1148,22.3914,Manihot esculenta ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
87,50,98,18.2366,65.4191,7.4537,47.3479,Daucus carota ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
74,47,45,23.9911,67.1613,7.1234,47.7113,Pelargonium graveolens ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
13,74,83,17.8386,60.2795,7.4692,13.8786,Vicia faba ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
154,74,106,38.6437,74.643,8.0758,94.6627,Saccharum officinarum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
75,36,58,26.5078,44.4498,7.7054,26.6135,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
63,29,35,17.1927,67.8196,7.9492,38.2291,Hordeum vulgare ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
51,32,53,13.3622,56.5172,7.2172,42.7969,Pimpinella anisum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
92,31,65,22.4877,75.6309,7.492,62.2511,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
9,27,10,27.438,60.1048,6.5851,86.8246,Citrus medica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
32,43,77,21.5589,55.7616,8.2103,47.9721,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
101,11,58,32.7173,57.8575,6.1194,135.5802,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
131,61,107,24.5328,69.9567,8.6428,73.2406,Capsicum annuum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
74,42,47,31.7721,61.7489,7.5925,19.7547,Portulaca oleracea ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
77,38,44,29.583,53.3037,7.3297,71.0341,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
67,84,80,18.1057,63.6591,6.5608,111.0461,Arachis hypogaea ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
13,6,55,8.2461,74.792,6.5452,79.0521,Pyrus communis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
141,51,101,25.7525,66.4948,7.1218,66.2479,Capsicum annuum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
69,38,90,17.2352,62.9207,7.6715,54.5589,Allium sativum ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
130,53,52,27.1676,66.7137,8.0946,55.7309,Corchorus olitorius ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
127,59,112,19.9055,63.5354,8.0491,70.3985,Solanum melongena ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
38,14,32,36.6506,32.6147,7.7803,23.4893,Artemisia herba-alba ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
99,58,153,16.9395,68.4584,7.5187,34.1349,Beta vulgaris ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
51,19,13,21.416,69.3239,6.6193,98.2349,Prunus armeniaca ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
167,72,85,30.9808,69.5767,7.6625,137.3424,Saccharum officinarum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
28,5,6,18.88,70.8715,5.1423,73.6122,Prunus avium ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
132,102,139,20.6464,72.5341,7.6055,28.1372,Solanum tuberosum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
62,34,37,24.6191,62.9454,8.4631,52.302,Matricaria chamomilla ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
52,50,59,15.6811,56.1392,6.6959,35.4322,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
61,74,79,25.3357,69.5341,6.6726,36.1869,Glycine max ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
78,46,71,27.8299,81.7659,5.5887,82.9841,Cucumis melo ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
86,46,77,19.7129,60.4109,7.7248,38.9404,Foeniculum vulgare ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
31,11,14,13.4899,70.7241,7.0875,71.8213,Citrus reticulata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
118,51,107,29.4524,72.1559,7.2136,133.5901,Cucurbita pepo ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
66,47,56,26.8631,62.8881,7.4153,33.1153,Brassica rapa ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
9,9,15,29.4248,49.7478,6.6738,9.3393,Ziziphus spina-christi ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
11,22,28,25.7024,66.9972,6.2489,73.2131,Prunus domestica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
42,26,46,14.2503,58.6296,7.8327,14.6383,Carum carvi ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
45,34,39,23.4763,57.9285,7.7451,29.9723,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
14,0,3,27.4102,28.892,7.6358,21.9663,Simmondsia chinensis ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
94,48,28,28.6303,55.8837,7.1656,53.4845,Pelargonium graveolens ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
8,5,0,12.6355,73.067,6.8749,76.6199,Citrus sinensis ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
26,18,13,15.2624,71.6448,6.7569,79.6325,Citrus paradisi ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
12,18,46,33.0964,45.9051,9.8546,24.9892,Phoenix dactylifera ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
100,34,60,31.7883,61.7037,6.5158,81.5003,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
87,58,72,20.6537,51.9699,8.338,42.7693,Allium ampeloprasum ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
75,6,25,10.8155,78.7163,5.9074,63.938,Rosa damascena ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
22,0,7,32.5485,41.9845,8.1843,12.7471,Artemisia herba-alba ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
30,0,22,7.6344,84.9868,6.0539,110.15,Citrus limon ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
67,56,114,26.4526,66.3323,6.8498,102.2974,Arachis hypogaea ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
72,42,41,14.4927,56.2868,6.9434,27.8253,Ammi visnaga ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
44,0,26,22.7343,35.0537,8.7588,26.0327,Phoenix dactylifera ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
93,43,44,25.6672,75.3198,6.4289,93.4205,Cucumis melo ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
2,1,13,19.1906,48.686,8.128,13.2793,Ziziphus spina-christi ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
122,54,87,21.0695,69.6685,7.091,76.2213,Cucurbita moschata ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
147,58,73,29.1401,67.2451,7.6218,43.1014,Solanum melongena ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
52,10,1,16.127,72.0072,5.9952,98.0778,Citrus reticulata ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
0,5,24,25.1872,56.4479,8.1039,29.1815,Ziziphus spina-christi ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
90,29,52,30.7334,48.4493,7.7094,67.445,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
102,78,169,15.6306,68.266,8.4895,28.2026,Solanum tuberosum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
121,45,72,18.7315,56.9727,6.6667,93.2001,Vitis vinifera ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
18,13,0,21.3315,74.2869,5.6997,103.386,Citrus medica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
36,47,81,15.3499,65.4513,7.5258,25.0416,Pisum sativum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
50,51,67,22.4133,69.4185,7.2676,33.9054,Lens culinaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
136,70,128,24.5461,71.9711,7.9619,75.906,Capsicum annuum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
110,55,40,21.8277,79.4934,6.1337,37.2196,Cucumis melo var. cantalupensis ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
13,0,31,16.5455,73.2985,7.2363,69.8179,Citrus paradisi ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
3,52,59,17.3271,67.4101,7.4008,46.2065,Lens culinaris ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
117,44,69,27.8357,83.3304,7.3812,89.0802,Citrullus lanatus ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
23,43,49,17.0958,55.4073,6.8647,35.975,Lupinus albus ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
47,29,47,18.8488,65.3206,6.3419,19.75,Linum usitatissimum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
125,43,82,29.0946,68.595,7.5179,55.926,Solanum melongena ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
90,46,57,18.4079,64.8679,7.5201,45.7995,Triticum aestivum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
38,31,37,20.8593,68.8662,6.0868,84.4578,Prunus persica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
24,22,5,21.0818,80.8219,6.7216,106.1378,Citrus limon ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
82,51,51,25.2912,60.1681,9.002,20.5938,Gossypium barbadense ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
52,66,81,24.0149,84.9825,6.3214,63.691,Carica papaya ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
118,60,124,19.1351,67.7066,7.0027,54.2054,Beta vulgaris ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
92,29,32,26.0797,58.67,6.1342,116.6116,Hibiscus sabdariffa ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
155,58,107,24.2763,72.6416,6.6581,65.3164,Brassica oleracea var. botrytis ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
182,37,128,15.338,65.7046,7.3277,53.2022,Brassica oleracea var. botrytis ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
39,17,23,24.0234,83.1305,5.4285,88.6075,Jasminum grandiflorum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
83,50,73,21.6183,61.0144,7.8961,5.6911,Petroselinum crispum ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
3,41,76,14.7723,65.7194,6.7624,58.3978,Pisum sativum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
33,44,57,17.1284,56.2495,8.2349,33.8132,Cicer arietinum ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
96,44,76,28.7747,54.7099,7.6012,14.4377,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
77,18,25,25.0712,68.3404,6.344,55.4238,Ocimum basilicum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
28,36,61,24.3924,53.5207,7.2964,32.768,Cuminum cyminum ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
70,30,85,15.1103,62.3149,7.9416,51.7668,Beta vulgaris subsp. cicla ,Root_Tuber,1.8-2.8 mS/cm,100-180 ppm,30-60 ppm,< 70 ppm
78,27,73,25.4139,61.6601,8.387,39.038,Pelargonium graveolens ,Legume,1.0-1.8 mS/cm,80-150 ppm,20-40 ppm,< 40 ppm (High Sensitive)
91,33,45,33.5502,78.0729,6.3214,112.2144,Cucumis melo var. cantalupensis ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
149,34,122,27.9979,71.3329,7.1745,48.2821,Capsicum annuum ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
102,62,69,26.6716,62.2982,8.1319,58.7718,Pennisetum glaucum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
83,54,62,17.861,60.3876,7.3652,63.0819,Triticum aestivum ,Cereal_Grass,1.0-2.0 mS/cm,60-120 ppm,15-35 ppm,Tolerant (Variable)
78,21,64,32.1353,42.5497,7.3686,73.737,Sesamum indicum ,Unclassified,1.5-2.5 mS/cm,100-180 ppm,30-50 ppm,< 60 ppm
120,44,69,20.9303,64.1224,7.5244,49.3351,Lactuca sativa ,Leafy_Veg,1.2-2.0 mS/cm,100-150 ppm,25-50 ppm,< 50 ppm
16,24,51,20.6959,79.6799,7.2582,57.2811,Prunus persica ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
109,50,105,21.829,76.4065,6.3166,149.3734,Zingiber officinale ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
15,0,2,22.4682,52.5426,8.2275,0.0,Artemisia herba-alba ,Herb_Spice,1.5-2.5 mS/cm,100-150 ppm,30-50 ppm,< 50 ppm
134,60,164,25.9286,77.4148,7.5479,83.6163,Cucumis sativus ,Fruiting_Veg,2.0-4.5 mS/cm,180-250 ppm,40-70 ppm,< 50 ppm (Sensitive)
9,3,3,21.4019,71.049,6.7649,166.3658,Citrus limon ,Tree_Fruit,1.0-2.5 mS/cm,100-200 ppm,30-60 ppm,< 50 ppm
